========= Log File on Sun, Apr 30 2017 10:53:39 =========
[serial cnnct error], Sun, Apr 30 2017 10:53:39, --------
[serial write error], Sun, Apr 30 2017 10:53:39, 00030000
[serial write error], Sun, Apr 30 2017 10:53:39, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:40, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:41, 00030000
[serial write error], Sun, Apr 30 2017 10:53:42, 00030000
